0	1.0000000000
1	0.9011158000
2	0.7391160500
3	0.6148442000
4	0.5155590500
5	0.4324591000
6	0.3596918000
7	0.2934668000
8	0.2311484500
9	0.1709872000
10	0.1120068000
11	0.0534377000
12	-0.0055168000
13	-0.0654384500
14	-0.1265516500
15	-0.1887184500
16	-0.2515533500
17	-0.3142629500
18	-0.3757180000
19	-0.4346283000
20	-0.4892231500
21	-0.5374552000
22	-0.5774248000
23	-0.6073099500
24	-0.6257602000
25	-0.6319927000
26	-0.6257602000
27	-0.6073099500
28	-0.5774248000
29	-0.5374552000
30	-0.4892231500
31	-0.4346283000
32	-0.3757180000
33	-0.3142629500
34	-0.2515533500
35	-0.1887184500
36	-0.1265516500
37	-0.0654384500
38	-0.0055168000
39	0.0534377000
40	0.1120068000
41	0.1709872000
42	0.2311484500
43	0.2934668000
44	0.3596918000
45	0.4324591000
46	0.5155590500
47	0.6148442000
48	0.7391160500
49	1.0000000000
