#pe	angularVel		error
0	4.5334031340313425e-05	0.05903972142610111		
5	0.0012237390483904838	0.1105270457654067			
15	0.0036307026465264643	0.05173697432297966		
25	0.006161141330413303	0.053068576074598174		
35	0.008656373519235191	0.05727203973364551		
45	0.011296077651776525	0.056795135655894655		
55	0.014129581661816623	0.07057583992000667		
65	0.016876044950949506	0.062166897098910746				
75	0.01973599877498776	0.05915912887805376		
85	0.022826326262262643	0.05702366907413272						
	
