#Pe	tau		tau_error		omega1		omega_error
0	0.00011475	0.00000060		589.46865	301.18147
5	0.00013289	0.00000033		11887.18406	12.87537
15	0.00019179	0.00000030		37473.62922	5.95712
25	0.00024786	0.00000047		65143.22467	5.41521
35	0.00031057	0.00000071		94624.59622	5.18801
45	0.00028695	0.00000037		125464.74350	3.17616
55	0.00028060	0.00000039		157463.39109	3.48781
65	0.00025570	0.00000055		190450.03088	5.91535
75	0.00026520	0.00000042		223790.68808	4.17755
85	0.00019741	0.00000042		258581.28940	7.65120

