#persistence	rdSquare		error
2		202.89373059026306	1.284009e+02
3.33		185.06767002093247	1.243046e+02
5		171.10248441658052	1.126994e+02
10		142.07533435297097	8.806580e+01
15		128.13889795042977	7.606316e+01
20		120.23870858516477	7.140270e+01
25		116.05835406524429	6.723945e+01
30		113.67876144089729	6.571668e+01
35		111.70355068708173	6.350198e+01
40		109.6675460218798	6.350264e+01
