0	1.0000000000
1	0.8980482000
2	0.7306396500
3	0.6014907500
4	0.4984251500
5	0.4133543500
6	0.3409343000
7	0.2773218000
8	0.2193597000
9	0.1643101500
10	0.1100146500
11	0.0549412500
12	-0.0018381000
13	-0.0606758500
14	-0.1213477500
15	-0.1830499500
16	-0.2449330500
17	-0.3062422500
18	-0.3661331000
19	-0.4234385000
20	-0.4767082500
21	-0.5244342000
22	-0.5651461000
23	-0.5969233000
24	-0.6173311000
25	-0.6243677500
26	-0.6173311000
27	-0.5969233000
28	-0.5651461000
29	-0.5244342000
30	-0.4767082500
31	-0.4234385000
32	-0.3661331000
33	-0.3062422500
34	-0.2449330500
35	-0.1830499500
36	-0.1213477500
37	-0.0606758500
38	-0.0018381000
39	0.0549412500
40	0.1100146500
41	0.1643101500
42	0.2193597000
43	0.2773218000
44	0.3409343000
45	0.4133543500
46	0.4984251500
47	0.6014907500
48	0.7306396500
49	1.0000000000
