#persistence	rdSquare		error
2		218.90199102779715	1.002771e+02
3.33		196.28219910640507	1.110205e+02
5		179.22205003410724	1.046657e+02
10		145.95717353311545	8.528093e+01
15		130.173694905343	7.490634e+01
20		122.14091875532876	6.969230e+01
25		116.55297377914009	6.635535e+01
30		114.55390844670974	6.461873e+01
35		112.13187954996047	6.353916e+01
40		110.49445865549575	6.206300e+01
