#persistence	rdSquare		error
2		226.55228082409516	7.083325e+01
3.33		210.1136833484971	8.471244e+01
5		189.270444270848	9.114515e+01
10		148.53272684470383	8.209556e+01
15		130.7008176656846	7.365836e+01
20		122.36850284156111	6.852527e+01
25		117.00385508152615	6.561882e+01
30		114.16614253976626	6.444492e+01
35		112.04689180559646	6.233459e+01
40		110.06529828051777	6.171493e+01
