0	1.0000000000
1	0.9528641000
2	0.8562118500
3	0.7527781500
4	0.6480120500
5	0.5459733000
6	0.4492971500
7	0.3593569500
8	0.2765486500
9	0.2005767000
10	0.1305991000
11	0.0653394500
12	0.0032401000
13	-0.0574368000
14	-0.1185113000
15	-0.1817328500
16	-0.2486014500
17	-0.3201869000
18	-0.3968048000
19	-0.4777116500
20	-0.5608453500
21	-0.6425266500
22	-0.7172803000
23	-0.7782710500
24	-0.8185143000
25	-0.8326128500
26	-0.8185143000
27	-0.7782710500
28	-0.7172803000
29	-0.6425266500
30	-0.5608453500
31	-0.4777116500
32	-0.3968048000
33	-0.3201869000
34	-0.2486014500
35	-0.1817328500
36	-0.1185113000
37	-0.0574368000
38	0.0032401000
39	0.0653394500
40	0.1305991000
41	0.2005767000
42	0.2765486500
43	0.3593569500
44	0.4492971500
45	0.5459733000
46	0.6480120500
47	0.7527781500
48	0.8562118500
49	1.0000000000
