0	1.0000000000
1	0.8360198500
2	0.6082853000
3	0.4778001000
4	0.3908735000
5	0.3256244500
6	0.2722146500
7	0.2253303500
8	0.1811559000
9	0.1373127000
10	0.0925829000
11	0.0461678000
12	-0.0022978500
13	-0.0528017500
14	-0.1048233500
15	-0.1576594000
16	-0.2108039000
17	-0.2634843500
18	-0.3142419500
19	-0.3616165000
20	-0.4050522000
21	-0.4439073000
22	-0.4771058500
23	-0.5030962000
24	-0.5199342500
25	-0.5258626500
26	-0.5199342500
27	-0.5030962000
28	-0.4771058500
29	-0.4439073000
30	-0.4050522000
31	-0.3616165000
32	-0.3142419500
33	-0.2634843500
34	-0.2108039000
35	-0.1576594000
36	-0.1048233500
37	-0.0528017500
38	-0.0022978500
39	0.0461678000
40	0.0925829000
41	0.1373127000
42	0.1811559000
43	0.2253303500
44	0.2722146500
45	0.3256244500
46	0.3908735000
47	0.4778001000
48	0.6082853000
49	1.0000000000
