#v	asphericity		Error
0	0.10413400929859298	0.09829988733722066
5	0.10160159559095594	0.09671042198881814
15	0.10526012615876161	0.0984806902380224
25	0.10549461521065213	0.09776667804712354
35	0.10369223768187678	0.09781170323141661
45	0.10458413270382702	0.09857219915575542
55	0.1069371455484555	0.09945933310813587
65	0.10632600003700034	0.09980531776039697
75	0.10620408091730918	0.10037228487094019
85	0.10701565327253273	0.10191911459685417
95	0.10620336880618807	0.09827690378787693		
105	0.10711304584045835	0.0994421226519615		
115	0.1074090878073781	0.10048529393855768
125	0.10432032206222061	0.0965841816539055		
135	0.10869825589105891	0.10271097788670484		
145	0.10754112891728916	0.10040851146088411				

