#Pe	tau	        tau_err				omega1		omega_err
0	0.00011475	0.00000041			589.46865	206.38259
5	0.00013289	0.00000022			11887.18347	8.84101
15	0.00019179	0.00000025			37473.62881	4.88817
25	0.00024786	0.00000036			65143.22327	4.17465
35	0.00031059	0.00000053			94624.58737	3.91896
45	0.00028695	0.00000040			125464.70707	3.47122
55	0.00028060	0.00000033			157463.41490	2.95240
65	0.00025570	0.00000035			190450.03188	3.75098
75	0.00026520	0.00000033			223790.68206	3.28545
85	0.00019741	0.00000031			258581.28946	5.55987

