0	1.0000000000
1	0.9608772000
2	0.8836306500
3	0.8046661500
4	0.7243932000
5	0.6430431500
6	0.5605915500
7	0.4769114500
8	0.3918751000
9	0.3053224500
10	0.2170937500
11	0.1271786000
12	0.0357363000
13	-0.0568846000
14	-0.1501477000
15	-0.2433705500
16	-0.3356964000
17	-0.4260502500
18	-0.5130496000
19	-0.5949458000
20	-0.6696623000
21	-0.7349512500
22	-0.7885755000
23	-0.8285336500
24	-0.8532145000
25	-0.8615629000
26	-0.8532145000
27	-0.8285336500
28	-0.7885755000
29	-0.7349512500
30	-0.6696623000
31	-0.5949458000
32	-0.5130496000
33	-0.4260502500
34	-0.3356964000
35	-0.2433705500
36	-0.1501477000
37	-0.0568846000
38	0.0357363000
39	0.1271786000
40	0.2170937500
41	0.3053224500
42	0.3918751000
43	0.4769114500
44	0.5605915500
45	0.6430431500
46	0.7243932000
47	0.8046661500
48	0.8836306500
49	1.0000000000
