0	1.0000000000
1	0.9737918000
2	0.9182861500
3	0.8551808500
4	0.7851718000
5	0.7089585000
6	0.6271376000
7	0.5402643500
8	0.4488731500
9	0.3534879000
10	0.2546423500
11	0.1529375000
12	0.0490908500
13	-0.0560951000
14	-0.1616835000
15	-0.2665513000
16	-0.3693866000
17	-0.4686753000
18	-0.5626741000
19	-0.6495088000
20	-0.7272406500
21	-0.7939318500
22	-0.8478166000
23	-0.8874409000
24	-0.9116931500
25	-0.9198576000
26	-0.9116931500
27	-0.8874409000
28	-0.8478166000
29	-0.7939318500
30	-0.7272406500
31	-0.6495088000
32	-0.5626741000
33	-0.4686753000
34	-0.3693866000
35	-0.2665513000
36	-0.1616835000
37	-0.0560951000
38	0.0490908500
39	0.1529375000
40	0.2546423500
41	0.3534879000
42	0.4488731500
43	0.5402643500
44	0.6271376000
45	0.7089585000
46	0.7851718000
47	0.8551808500
48	0.9182861500
49	1.0000000000
